CO2 (ppmv),Year
217.1944729687879,-734157.3054545454
217.88283774216444,-733459.909090909
214.6624205315424,-733184.5709090909
216.1485998526368,-732512.6199999998
210.60174265873587,-732072.2299999999
207.72075200492253,-731378.9999999995
208.1143039021245,-731043.4999999999
213.73187878271676,-730371.75
211.62321092369945,-729910.9999999998
210.702373057978,-729234.2272727275
210.16351745201928,-728958.3136363637
212.1716466152816,-728310.314545455
210.0149974521128,-727886.9384848482
211.0778130948141,-727037.5303030305
210.24197486380825,-726643.9021212123
210.0675097854836,-725948.5024242426
211.42656926315465,-724626.8636363636
211.075995557622,-724299.591818182
211.49197634968232,-723524.4313636366
210.4806821716978,-723025.3554545457
214.0125927948141,-722191.9999999999
212.54540888381376,-721830.2266666669
212.108071771009,-721044.5945454545
216.09677010835375,-720555.8105454544
218.956944794401,-719739.8636363633
219.2003556861584,-719457.5168181815
217.0426911316349,-718640.7595454546
212.030518626341,-718137.2854545454
200.8234844705578,-717337.1818181823
193.46090298257133,-716828.348484849
189.87843381686548,-716005.4848484852
198.42559568024177,-715398.2727272725
210.5098874628876,-714635.909090909
213.59999290263292,-714360.1630303029
227.5826981949172,-713615.3763636363
223.14262795384457,-713165.732727273
227.08319713303533,-712453.7969696966
227.63734055505356,-712115.578181818
223.8856925917568,-711362.5
224.001743721128,-710293.7272727275
224.1234469162136,-710071.4654545452
225.3889691337453,-709449.0436363637
224.9017352890244,-709033.3563636366
227.032822730358,-708506.4545454548
230.50735989141307,-707959.5454545452
231.43297127712552,-707503.7878787875
234.83616059567032,-707009.1515151514
233.11228487432956,-706463.4484848484
233.5834734270881,-706249.6806060602
233.50528810247425,-705693.7254545457
238.8480696520816,-705360.6972727273
236.0453403013913,-704760.7395454546
236.05369135840692,-704542.9518181819
237.661231516828,-704103.1981818182
237.18468030646915,-703776.9518181817
235.09172492612444,-703293.9090909093
234.04269676194463,-703103.3442424244
233.54448715907165,-702631.8054545454
232.82958847745476,-702300.5218181817
232.2805206457517,-701846.0731818182
233.3539062097976,-701518.5218181817
230.58782898361125,-701059.9848484849
232.1824465330735,-700784.2727272725
232.162121529527,-700250.9236363637
230.88479116742863,-700043.1490909093
232.4560078431405,-699574.5236363634
235.4215271002262,-699318.527272727
236.6070014153336,-698864.8381818184
236.7173884297771,-698535.0242424243
237.20611593740932,-698153.6854545457
239.72641961823388,-697914.7075757575
239.00952129629684,-697489.0187878788
238.8636108455049,-697265.7512121215
241.8320311598419,-696803.2309090907
240.89904625193032,-696555.5381818184
241.0299151581724,-696089.0036363635
239.884743914407,-695796.6751515149
238.41997928360917,-695392.4521212119
239.4354918894625,-695140.2909090907
238.13269799082363,-694694.8345454544
238.0518499460627,-694484.8896969694
238.73723027829791,-694031.88
236.7987347932641,-693782.3090909093
239.79653384828728,-693309.2618181818
239.31113174299168,-692999.1381818183
240.45669225384145,-692586.8242424241
239.3406332632852,-692330.3484848483
237.7560079776989,-691871.2928787881
243.6995486644999,-691624.0430303031
238.47330442832688,-691127.0923636364
239.2983940505077,-690882.4590909089
243.5623167259663,-690368.3436363635
239.37873479610943,-690017.9624242428
238.41599878810229,-689517.6684848482
239.2879301088554,-689271.8348484851
236.4535724768809,-688786.391212121
235.8000553317824,-688524.6527272727
232.26747586461005,-688001.4515151515
232.0747771551575,-687743.2575757576
230.66878933516543,-687207.8254545457
227.6358560751815,-686859.8703030302
227.65046207304687,-686350.1345454548
226.72892608676472,-686050.381818182
222.96501296914877,-685495.4972727271
222.7044405108711,-685204.044242424
222.61792578852743,-684631.8109090904
220.6316642042182,-684319.1090909089
220.62261407272987,-683729.8654545456
221.82035466276145,-683344.8436363635
224.3560776723839,-682808.0590909088
225.64160209672892,-682473.6818181815
222.6967127552533,-681878.7524242424
220.2352186749276,-681507.8634848485
219.1411841639893,-680790.0857575755
221.30626385386472,-680393.7121212126
227.89516025735253,-679719.9266666665
225.80855816583323,-679275.6733333332
233.1080061479115,-678677.6078787883
233.61111358821643,-678362.5848484847
232.70102424711223,-677785.1745454543
229.16045804591084,-677505.3739393939
220.086237115456,-676791.6193939392
218.20973466460345,-676378.1818181815
216.59070226826563,-675650.7363636363
219.96238463739664,-675202.3090909093
222.57485445876677,-674580.736363636
216.1224817958984,-673456.5333333331
211.69145610328425,-673078.3999999999
204.669745646326,-672279.3778787885
201.1220985980582,-671746.1060606058
197.1291521940604,-670811.3824242426
194.789560383579,-670200.8827272733
196.8275423165405,-669507.9260606061
194.87837297832084,-669120.7454545456
191.5141318512642,-668346.3187878784
187.6555369926176,-667869.2987878791
180.6705433303129,-666965.5375757578
177.7146610306198,-666465.2636363631
173.71362014216885,-665459.8573333337
174.76867941399888,-664803.3600000001
180.53768178380184,-663886.5212121212
180.16659707392196,-663371.9393939392
187.7670323098909,-662458.0909090904
192.55321359717547,-662370.3999999997
191.02249326390395,-661987.5151515151
190.86103041769672,-660927.5500000003
193.9082170435541,-660846.6094545458
189.6905841804821,-660332.1772727269
191.59170346951032,-659265.9000000005
193.9700304568731,-659168.32
188.43427447380083,-658513.5499999999
185.6837857761792,-657461.8999999996
187.3800806732598,-657343.8200000001
184.098136363561,-656814.0999999994
190.8769405532136,-655771.999999999
189.23340881737832,-655704.2060606063
192.9341212467433,-655231.0909090905
200.35242454933484,-654182.6499999991
199.99595342018023,-653574.3499999999
194.81602929906572,-652488.65
192.8691774329536,-651780.25
186.7937683040444,-650758.9500000003
187.2748940558699,-650154.2636363631
193.44315462070247,-648997.0999999997
189.2501799432969,-648398.4636363634
196.171494104952,-647241.0999999993
193.4765987078096,-646662.4181818187
191.8480609628653,-645304.8499999992
189.88548096825596,-644426.9469696959
195.8204274432848,-643200.6499999997
195.3061298127235,-642350.8272727265
191.5605717991007,-640906.65
191.3842569534652,-640124.6045454537
190.1777336005101,-638422.2499999993
188.8477364074226,-637468.2651515146
195.33150117951013,-635764.3666666652
194.00258992033588,-634571.56060606
194.85936588137292,-633059.0333333323
195.94989153226655,-632931.1448484845
193.09789993536265,-632127.5378787883
196.49917279673912,-630406.9409090906
200.4570693283412,-629576.322727272
200.77734554085592,-627916.1000000006
205.26582182975855,-627819.852727273
199.52416462021895,-627189.6181818179
205.76310728563763,-625880.0999999994
215.70968264504967,-625019.4272727271
228.5122253513537,-624097.499999999
235.02330647237795,-623447.9242424238
237.92850701362372,-622546.9499999993
239.19230883467588,-621104.95
243.88545246756436,-621000.732727273
243.5306835863856,-619701.4500000002
245.8865878724808,-618333.7499999999
248.28893339724928,-617003.7499999994
252.63944486217684,-615659.5681818179
252.729800513971,-614406.5999999999
252.8982584181087,-614349.1163636366
252.74797477389265,-613190.6
256.193578648728,-611992.7999999997
258.13797445364014,-610811.9666666661
259.6847091794925,-609650.6333333328
257.8151013837554,-609601.0127272727
257.7448677422332,-608479.5000000001
259.22379791893974,-607297.3000000004
254.57832546938147,-606029.2999999997
248.4801850050678,-604675.9090909091
244.5322516170048,-603353.1499999992
239.14012591458967,-601999.15
237.8582812314746,-600650.7500000002
232.45478922791705,-599305.1499999998
229.38148051861887,-597864.6318181817
225.9716626647501,-597268.2181818187
219.0222803388292,-596379.7499999994
216.27309709713364,-595853.6136363635
216.4410115698623,-594841.1333333332
221.2172428733,-594271.5575757573
232.91795566697328,-593486.4666666667
237.9772146198636,-592913.8121212114
238.1475936125431,-592096.754545454
233.1632188953882,-591611.2454545454
229.3866700921104,-590835.516666666
225.678803565834,-590433.4712121211
237.37751240309967,-589069.4666666666
243.5553025827732,-588538.8000000002
248.1046423657793,-588090.145454545
250.20456464222792,-587475.3500000003
246.34602904387208,-586990.9045454541
238.7841158534624,-586329.3499999996
234.40092907192803,-585938.6681818177
225.9929310765137,-585221.8499999993
223.95763277250387,-584770.8424242425
210.6390178335049,-582008.8000000002
206.68125254107684,-581624.2545454543
209.88341782048892,-580886.2999999999
215.44586651227405,-580504.5272727271
219.4126580601745,-579978.2999999996
225.2070402346668,-579596.5272727276
230.2553890769855,-579168.6499999997
236.17021956160747,-578864.0045454544
243.8071398156684,-578451.7833333332
244.13978325747763,-578260.5045454543
251.47302309267096,-577883.1166666667
252.92340485161623,-577330.5499999998
249.0568689785398,-576792.3499999997
251.0792763522184,-576246.3499999997
251.341725346752,-575703.8500000001
251.2965766771463,-575165.1000000001
252.8973536409592,-574649.0999999999
252.543697553062,-574162.8499999997
248.8639219697805,-573704.5333333331
252.08002667419615,-573283.9636363636
251.8615047665413,-572856.0000000001
251.7666008144979,-572414.6545454544
248.72078039844757,-571963.0166666665
249.18618138857704,-571525.7499999998
247.65697248974385,-571103.5166666666
246.30955184938028,-570719.8727272728
250.3009961681342,-570365.4999999999
251.6,-570024.6909090908
249.6,-569683.3575757575
251.8,-569311.4424242425
251.8,-568912.1272727273
251.3,-568513.4606060607
250.0,-568117.2484848484
251.3,-567733.9272727272
250.2,-567364.5939393939
253.0,-566980.1454545455
252.8,-566584.2363636364
253.9,-566254.1393939394
253.2,-565934.8909090909
254.5,-565598.6545454545
253.9,-565289.4909090908
254.3,-564968.3515151516
253.7,-564638.6363636364
251.4,-564295.303030303
252.6,-563945.6424242425
252.4,-563588.9636363637
251.4,-563184.296969697
247.6,-562774.3575757574
245.8,-562360.5636363636
245.7,-561977.896969697
242.3,-561585.7393939394
240.1,-561184.8545454546
234.1,-560705.6000000001
234.6,-560360.4909090908
231.9,-559938.0727272726
231.6,-559500.7393939394
228.3,-559015.6000000001
230.3,-558486.618181818
230.2,-557922.6181818182
229.7,-557686.7636363636
234.5,-557366.0060606062
238.1,-556827.6909090909
240.4,-556356.0181818182
245.6,-556204.5636363635
250.5,-555888.206060606
244.0,-555707.1393939393
249.1,-555435.0545454546
243.0,-555248.6545454545
241.0,-554973.2909090909
233.9,-554457.0242424243
226.7,-553892.3454545456
224.3,-553208.3454545455
223.6,-552529.6181818182
220.3,-551858.6545454544
222.1,-551669.3939393939
226.3,-551295.9878787878
222.3,-551070.9212121211
221.7,-550731.5636363637
219.9,-550161.0909090908
215.2,-549431.0909090908
213.6,-548632.5454545455
208.8,-548280.7272727275
202.5,-547770.1090909094
204.6,-546820.7757575759
209.7,-545856.6787878785
209.6,-544880.1454545453
210.3,-543914.9090909091
208.1,-542935.987878788
203.6,-541894.872727273
205.0,-540790.206060606
211.2,-539703.8181818181
212.9,-538633.818181818
206.4,-537563.8181818181
205.0,-536490.7636363636
199.4,-535384.4727272725
199.8,-534228.4727272727
190.5,-533745.0545454544
193.8,-533093.5636363637
195.1,-532718.181818182
200.0,-531982.2363636366
204.4,-531604.3696969697
211.4,-531037.5696969698
214.5,-530642.5272727272
220.7,-530128.7575757573
220.3,-529251.3818181816
221.2,-528340.5090909093
222.7,-527453.4303030304
224.7,-526566.6909090912
227.8,-525748.6909090909
230.3,-524945.806060606
233.7,-524156.9999999999
235.8,-523387.0
236.8,-522620.8666666667
241.9,-521851.8242424243
243.5,-519624.4727272729
245.5,-518871.80606060615
247.7,-518123.3575757573
245.3,-517379.1272727272
245.5,-516650.4606060606
246.2,-515926.0121212122
247.2,-515204.981818182
243.0,-514470.9818181818
241.5,-513700.7757575757
239.2,-512897.7818181817
238.2,-512083.1151515151
242.0,-511254.7393939395
235.2,-510413.7818181817
236.4,-509562.4484848484
233.4,-508702.3272727273
240.3,-507834.981818182
237.0,-506990.9818181818
238.2,-506167.72121212096
236.0,-505362.3999999999
235.5,-504533.7333333333
233.9,-503734.2424242425
234.1,-502961.781818182
232.2,-502227.187878788
232.0,-501468.92727272736
231.2,-500687.6363636362
230.8,-499911.424242424
228.2,-499133.9636363636
230.8,-498354.7818181817
230.6,-497576.7818181818
232.8,-496787.4181818184
236.5,-496015.97575757577
236.4,-495237.6303030304
237.6,-494494.0666666664
238.5,-493775.6909090908
238.3,-493074.1272727274
239.1,-492350.39393939386
239.7,-491643.1090909093
243.7,-490913.7757575757
246.7,-490204.5454545456
243.3,-489501.0787878788
242.6,-488783.9515151515
249.3,-488544.9090909091
252.8,-488076.2909090909
240.9,-487769.793939394
242.0,-487352.0909090908
237.1,-486615.45454545465
231.3,-485898.0666666667
232.9,-485179.2545454547
233.0,-484448.6727272727
231.2,-483717.5212121211
231.4,-482986.1818181817
231.4,-482229.787878788
227.3,-481445.3818181817
223.4,-480630.9636363639
223.8,-479712.9636363636
218.8,-478776.6848484848
220.8,-478378.2969696968
231.3,-477825.69090909074
236.5,-477452.95151515136
239.1,-476942.4606060604
236.6,-475991.0000000001
232.8,-474999.7999999998
233.1,-473975.2000000002
241.2,-473024.10909090936
245.6,-472142.3636363638
243.9,-471850.8484848487
243.7,-471267.81818181806
232.7,-470913.2727272727
229.2,-470313.0666666664
218.7,-469874.53333333344
215.5,-469250.793939394
206.5,-468775.97575757554
205.5,-468090.1272727275
203.4,-466927.7090909092
204.4,-465756.64242424245
208.1,-464682.29696969694
210.0,-463651.7272727272
205.2,-463315.3636363636
199.9,-462649.4727272725
194.4,-461576.6484848482
190.7,-460464.1030303032
195.5,-459336.0606060607
202.4,-458302.2121212121
208.3,-457261.5515151518
203.3,-456844.00606060616
204.3,-456258.2909090909
199.1,-455795.1272727274
192.5,-455164.43636363646
193.3,-454051.6121212118
198.4,-452914.3090909089
201.9,-451825.6424242424
204.9,-450785.8363636365
201.2,-449797.2787878788
201.7,-448692.8909090911
208.1,-447621.03636363655
203.5,-446509.1818181816
201.1,-445269.18181818177
199.1,-443381.72727272735
202.0,-441894.6484848488
201.3,-440280.775757576
201.7,-438709.5818181819
200.3,-437113.418181818
207.5,-435535.4181818178
209.8,-433989.69090909103
207.6,-432429.0727272728
211.5,-431900.2969696969
227.2,-430229.3090909094
219.7,-429073.76363636367
242.5,-427228.3636363638
248.2,-426890.2000000002
252.1,-425991.3999999999
255.3,-425204.9636363636
265.4,-424671.5636363636
270.0,-424287.2727272728
270.8,-423790.9090909091
268.3,-423182.26060606056
267.7,-422557.74545454566
270.6,-421275.496969697
266.4,-420582.6545454545
268.6,-419962.1454545455
273.8,-418751.7636363636
271.2,-418183.7636363636
273.7,-417625.7818181819
274.6,-416555.3030303029
271.8,-416006.7818181817
273.4,-415490.4424242424
271.7,-414475.3151515151
276.4,-413995.6060606061
271.6,-413229.5939393941
264.9,-412260.8606060605
274.9,-411308.65454545454
283.5,-409397.96969696967
282.6,-408503.8
274.7,-407648.2363636363
284.5,-406868.7151515152
285.6,-405332.4969696969
279.6,-404592.8000000001
280.5,-403112.6303030303
276.5,-402363.296969697
275.7,-400909.8363636364
283.1,-400190.91515151504
283.2,-398760.08484848496
277.1,-397976.1636363636
276.3,-396325.1272727272
260.7,-392956.1030303031
273.6,-392053.6909090909
259.5,-391027.1515151514
258.1,-390337.25
245.8,-387460.2050000001
246.8,-385874.8150000001
239.1,-384333.71000000014
240.0,-382607.4450000001
227.0,-380981.4849999999
229.6,-376810.2400000001
224.6,-375084.8800000001
214.7,-373254.5999999999
199.9,-371507.6150000001
201.9,-369435.8700000001
206.3,-366115.9
201.2,-363240.23000000016
185.8,-360617.6
186.1,-358733.84000000014
193.0,-357060.3800000001
209.2,-353867.7699999999
209.4,-352462.9750000001
216.2,-351224.595
221.1,-349726.3450000001
220.3,-347189.0850000001
211.9,-345594.8050000001
204.8,-344370.905
205.2,-343050.8500000001
200.7,-341973.5850000001
250.1,-340841.56000000006
234.2,-338785.0800000001
239.6,-338033.8900000001
241.9,-337041.43500000006
255.7,-336263.50000000006
270.5,-335566.67000000004
278.6,-334917.81999999995
285.8,-334427.54
278.1,-333757.51000000007
298.6,-333152.30500000005
288.4,-332593.885
289.1,-332399.49500000005
282.4,-332047.55500000005
273.1,-331550.09
272.6,-330848.62000000005
271.7,-330194.11500000005
265.0,-329343.55000000005
275.1,-328103.32500000007
271.9,-327464.29
270.1,-326820.75000000006
266.1,-326136.81000000006
264.0,-325485.835
266.2,-324641.0900000001
260.5,-323873.0
260.3,-323057.4050000001
260.4,-322216.915
257.2,-321433.34500000003
249.2,-319867.44500000007
255.8,-318966.3350000001
233.4,-317879.6600000001
245.2,-316902.59500000003
251.6,-315982.54500000004
272.6,-315199.87000000005
246.8,-314500.72
257.1,-313707.5150000001
256.7,-312886.2100000001
251.6,-312101.85000000003
241.9,-311393.12500000006
239.0,-310643.43000000005
237.8,-309720.025
233.2,-308826.1000000001
226.2,-308060.975
227.8,-307473.73
225.8,-306375.70000000007
