temp,Year,celsius,anomaly
211.7,-56493.31,-61.44999999999999,-5.711494252873571
212.5,-56540.12,-60.64999999999998,-4.91149425287356
213.1,-56583.96,-60.04999999999998,-4.311494252873565
211.4,-56626.62,-61.74999999999997,-6.011494252873554
211.2,-56674.3,-61.94999999999999,-6.211494252873571
211.5,-56723.62,-61.64999999999998,-5.91149425287356
212.1,-56771.52,-61.04999999999998,-5.311494252873565
212.2,-56817.59,-60.94999999999999,-5.211494252873571
212.4,-56862.69,-60.74999999999997,-5.011494252873554
212.3,-56907.5,-60.849999999999966,-5.111494252873548
213.1,-56951.39,-60.04999999999998,-4.311494252873565
211.8,-56994.47,-61.349999999999966,-5.611494252873548
213.1,-57040.2,-60.04999999999998,-4.311494252873565
212.4,-57082.36,-60.74999999999997,-5.011494252873554
214.0,-57125.2,-59.14999999999998,-3.4114942528735597
212.3,-57166.41,-60.849999999999966,-5.111494252873548
213.3,-57207.86,-59.849999999999966,-4.111494252873548
213.5,-57249.42,-59.64999999999998,-3.9114942528735597
212.5,-57289.87,-60.64999999999998,-4.91149425287356
212.7,-57333.47,-60.44999999999999,-4.711494252873571
212.0,-57377.15,-61.14999999999998,-5.41149425287356
213.6,-57421.3,-59.54999999999998,-3.8114942528735654
213.8,-57462.37,-59.349999999999966,-3.6114942528735483
213.2,-57502.11,-59.94999999999999,-4.211494252873571
212.9,-57542.79,-60.24999999999997,-4.511494252873554
212.7,-57584.86,-60.44999999999999,-4.711494252873571
213.5,-57627.29,-59.64999999999998,-3.9114942528735597
212.5,-57668.91,-60.64999999999998,-4.91149425287356
212.6,-57711.82,-60.54999999999998,-4.811494252873565
212.3,-57756.03,-60.849999999999966,-5.111494252873548
212.6,-57800.33,-60.54999999999998,-4.811494252873565
212.5,-57844.35,-60.64999999999998,-4.91149425287356
212.6,-57888.43,-60.54999999999998,-4.811494252873565
212.7,-57932.17,-60.44999999999999,-4.711494252873571
213.0,-57975.3,-60.14999999999998,-4.41149425287356
213.0,-58017.62,-60.14999999999998,-4.41149425287356
211.3,-58061.64,-61.849999999999966,-6.111494252873548
213.9,-58105.88,-59.24999999999997,-3.511494252873554
212.2,-58148.79,-60.94999999999999,-5.211494252873571
212.1,-58192.68,-61.04999999999998,-5.311494252873565
211.1,-58238.67,-62.04999999999998,-6.311494252873565
212.3,-58288.74,-60.849999999999966,-5.111494252873548
213.6,-58333.93,-59.54999999999998,-3.8114942528735654
212.1,-58375.15,-61.04999999999998,-5.311494252873565
211.9,-58420.16,-61.24999999999997,-5.511494252873554
212.2,-58466.6,-60.94999999999999,-5.211494252873571
212.6,-58512.12,-60.54999999999998,-4.811494252873565
