Year,CO2 (ppmv),Temperature Anomaly [°C],Year(for Temp)
-623447.9242424238,235.02330647237795,-1.3,1335.534
-622546.9499999993,237.9285070136237,-1.04,1336.1219999999998
-621104.95,239.19230883467588,-1.35,1336.69
-621000.732727273,243.8854524675644,-1.04,1337.283
-619701.4500000002,243.5306835863856,-1.46,1337.87
-618333.7499999999,245.8865878724808,-1.43,1338.4589999999998
-617003.7499999994,248.28893339724928,-1.47,1339.0149999999999
-615659.5681818179,252.63944486217684,-1.26,1339.575
-614406.5999999999,252.729800513971,-1.09,1340.146
-614349.1163636366,252.8982584181087,-1.37,1340.731
-613190.6,252.74797477389265,-1.74,1341.326
-611992.7999999997,256.193578648728,-2.01,1341.921
-610811.9666666661,258.13797445364014,-2.35,1342.5259999999998
-609650.6333333328,259.6847091794925,-2.94,1343.181
-609601.0127272727,257.8151013837554,-3.21,1343.839
-608479.5000000001,257.7448677422332,-3.47,1344.493
-607297.3000000004,259.22379791893974,-3.51,1345.1660000000002
-606029.2999999997,254.57832546938147,-3.92,1345.85
-604675.9090909091,248.4801850050678,-4.22,1346.5259999999998
-603353.1499999992,244.5322516170048,-4.19,1347.212
-601999.15,239.14012591458967,-4.33,1347.876
-600650.7500000002,237.8582812314746,-4.23,1348.513
-599305.1499999998,232.45478922791705,-5.18,1349.2089999999998
-597864.6318181817,229.38148051861887,-4.99,1349.904
-597268.2181818187,225.9716626647501,-5.35,1350.6
-596379.7499999994,219.0222803388292,-5.54,1351.333
-595853.6136363635,216.27309709713364,-6.42,1352.108
-594841.1333333332,216.4410115698623,-6.7,1352.81
-594271.5575757573,221.2172428733,-6.31,1353.454
-593486.4666666667,232.91795566697328,-5.44,1354.0410000000002
-592913.8121212114,237.9772146198636,-4.42,1354.5990000000002
-592096.754545454,238.1475936125431,-3.89,1355.179
-591611.2454545454,233.1632188953882,-4.32,1355.7440000000001
-590835.516666666,229.3866700921104,-4.63,1356.3339999999998
-590433.4712121211,225.678803565834,-5.09,1356.917
-589069.4666666666,237.37751240309967,-5.3,1357.5259999999998
-588538.8000000002,243.5553025827732,-5.68,1358.138
-588090.145454545,248.1046423657793,-5.92,1358.699
-587475.3500000003,250.20456464222792,-4.99,1359.184
-586990.9045454541,246.34602904387208,-3.47,1359.663
-586329.3499999996,238.7841158534624,-3.48,1360.17
-585938.6681818177,234.40092907192803,-4.05,1360.6860000000001
-585221.8499999993,225.9929310765137,-4.62,1361.222
-584770.8424242425,223.95763277250387,-5.18,1361.795
-582008.8000000002,210.6390178335049,-6.11,1362.38
-581624.2545454543,206.68125254107684,-6.73,1362.966
-580886.2999999999,209.8834178204889,-6.52,1363.479
-580504.5272727271,215.44586651227405,-5.49,1364.01
-579978.2999999996,219.4126580601745,-6.1,1364.5149999999999
-579596.5272727276,225.2070402346668,-5.75,1365.016
-579168.6499999997,230.2553890769855,-5.9,1365.554
-578864.0045454544,236.17021956160747,-6.89,1366.0720000000001
-578451.7833333332,243.8071398156684,-7.03,1366.551
-578260.5045454543,244.13978325747763,-6.31,1367.001
-577883.1166666667,251.47302309267096,-5.72,1367.408
-577330.5499999998,252.92340485161623,-4.81,1367.787
-576792.3499999997,249.0568689785398,-4.23,1368.154
-576246.3499999997,251.0792763522184,-4.1,1368.493
-575703.8500000001,251.341725346752,-3.45,1368.807
-575165.1000000001,251.2965766771463,-2.81,1369.1219999999998
-574649.0999999999,252.8973536409592,-3.04,1369.402
-574162.8499999997,252.543697553062,-2.31,1369.665
-573704.5333333331,248.8639219697805,-1.46,1369.9160000000002
-573283.9636363636,252.08002667419612,-1.07,1370.164
-572856.0000000001,251.8615047665413,-1.16,1370.408
-572414.6545454544,251.7666008144979,-1.06,1370.6480000000001
-571963.0166666665,248.7207803984476,-1.1,1370.886
-571525.7499999998,249.18618138857704,-1.08,1371.117
-571103.5166666666,247.65697248974385,-0.92,1371.355
-570719.8727272728,246.30955184938028,-1.36,1371.598
-570365.4999999999,250.3009961681342,-1.71,1371.8339999999998
-570024.6909090908,251.6,-1.83,1372.068
-569683.3575757575,249.6,-1.95,1372.316
-569311.4424242425,251.8,-2.27,1372.5529999999999
-568912.1272727273,251.8,-1.87,1372.786
-568513.4606060607,251.3,-1.83,1373.019
-568117.2484848484,250.0,-1.95,1373.251
-567733.9272727272,251.3,-2.11,1373.4769999999999
-567364.5939393939,250.2,-1.73,1373.703
-566980.1454545455,253.0,-1.73,1373.924
-566584.2363636364,252.8,-1.62,1374.1390000000001
-566254.1393939394,253.9,-1.42,1374.346
-565934.8909090909,253.2,-1.14,1374.548
-565598.6545454545,254.5,-0.99,1374.7559999999999
-565289.4909090908,253.9,-1.37,1374.96
-564968.3515151516,254.3,-1.22,1375.163
-564638.6363636364,253.7,-1.23,1375.3690000000001
-564295.303030303,251.4,-1.41,1375.5720000000001
-563945.6424242425,252.6,-1.31,1375.783
-563588.9636363637,252.4,-1.76,1375.984
-563184.296969697,251.4,-1.29,1376.1860000000001
-562774.3575757574,247.6,-1.35,1376.392
-562360.5636363636,245.8,-1.63,1376.608
-561977.896969697,245.7,-2.15,1376.807
-561585.7393939394,242.3,-1.32,1377.009
-561184.8545454546,240.1,-1.53,1377.21
-560705.6000000001,234.1,-1.43,1377.417
-560360.4909090908,234.6,-1.86,1377.6219999999998
-559938.0727272726,231.9,-1.79,1377.8220000000001
-559500.7393939394,231.6,-1.51,1378.0230000000001
-559015.6000000001,228.3,-1.69,1378.22
-558486.618181818,230.3,-1.44,1378.415
-557922.6181818182,230.2,-1.38,1378.6100000000001
-557686.7636363636,229.7,-1.45,1378.806
-557366.0060606062,234.5,-1.49,1378.999
-556827.6909090909,238.1,-1.42,1379.193
-556356.0181818182,240.4,-1.48,1379.388
-556204.5636363635,245.6,-1.61,1379.5810000000001
-555888.206060606,250.5,-1.5,1379.772
-555707.1393939393,244.0,-1.48,1379.966
-555435.0545454546,249.1,-1.64,1380.155
-555248.6545454545,243.0,-1.42,1380.344
-554973.2909090909,241.0,-1.47,1380.5259999999998
-554457.0242424243,233.9,-1.09,1380.7150000000001
-553892.3454545456,226.7,-1.49,1380.9070000000002
-553208.3454545455,224.3,-1.77,1381.095
-552529.6181818182,223.6,-1.51,1381.284
-551858.6545454544,220.3,-1.59,1381.4679999999998
-551669.3939393939,222.1,-1.38,1381.654
-551295.9878787878,226.3,-1.54,1381.839
-551070.9212121211,222.3,-1.44,1382.031
-550731.5636363637,221.7,-1.93,1382.219
-550161.0909090908,219.9,-1.68,1382.3980000000001
-549431.0909090908,215.2,-1.22,1382.58
-548632.5454545455,213.6,-1.42,1382.769
-548280.7272727275,208.8,-1.87,1382.953
-547770.1090909094,202.5,-1.44,1383.143
-546820.7757575759,204.6,-2.02,1383.329
-545856.6787878785,209.7,-1.8,1383.516
-544880.1454545453,209.6,-1.89,1383.702
-543914.9090909091,210.3,-1.84,1383.886
-542935.987878788,208.1,-1.82,1384.067
-541894.872727273,203.6,-1.63,1384.255
-540790.206060606,205.0,-2.08,1384.446
-539703.8181818181,211.2,-2.27,1384.635
-538633.818181818,212.9,-2.21,1384.821
-537563.8181818181,206.4,-2.07,1385.0059999999999
-536490.7636363636,205.0,-2.05,1385.185
-535384.4727272725,199.4,-2.58,1385.373
-534228.4727272727,199.8,-2.21,1385.568
-533745.0545454544,190.5,-2.49,1385.762
-533093.5636363637,193.8,-2.59,1385.961
-532718.181818182,195.1,-2.87,1386.159
-531982.2363636366,200.0,-2.81,1386.364
-531604.3696969697,204.4,-3.22,1386.567
-531037.5696969698,211.4,-3.06,1386.775
-530642.5272727272,214.5,-3.33,1386.9850000000001
-530128.7575757573,220.7,-3.4,1387.201
-529251.3818181816,220.3,-3.66,1387.4180000000001
-528340.5090909093,221.2,-3.7,1387.643
-527453.4303030304,222.7,-4.0,1387.87
-526566.6909090912,224.7,-4.07,1388.1109999999999
-525748.6909090909,227.8,-4.64,1388.351
-524945.806060606,230.3,-4.49,1388.596
-524156.9999999999,233.7,-4.65,1388.851
-523387.0,235.8,-5.0,1389.1100000000001
-522620.8666666667,236.8,-5.21,1389.375
-521851.8242424243,241.9,-5.43,1389.6480000000001
-519624.4727272729,243.5,-5.48,1389.923
-518871.80606060615,245.5,-5.75,1390.222
-518123.3575757573,247.7,-6.48,1390.539
-517379.1272727272,245.3,-6.77,1390.867
-516650.4606060606,245.5,-6.86,1391.1770000000001
-515926.0121212122,246.2,-6.15,1391.4859999999999
-515204.981818182,247.2,-5.66,1391.786
-514470.9818181818,243.0,-5.49,1392.089
-513700.7757575757,241.5,-5.38,1392.384
-512897.7818181817,239.2,-4.95,1392.692
-512083.1151515151,238.2,-5.07,1392.987
