Temperature Anomoly,Year
-0.38,11.791259999999966
0.18,-5.514040000000023
-0.3,-22.75622999999996
-0.73,-40.0025599999999
-1.08,-57.35229000000004
-0.02,-75.2391399999999
-0.92,-93.51098999999999
1.62,-110.98633000000018
-0.7,-128.09888
-0.74,-145.21533
0.44,-162.52783
-0.64,-179.7492699999998
-0.34,-197.3413099999998
-1.02,-215.32128999999986
-0.48,-233.9953599999999
-0.46,-252.29271999999992
,-269.3937999999998
0.86,-286.5646999999999
0.3,-303.3891600000002
-0.35,-320.8740200000002
0.17,-338.77588000000014
-2.05,-356.32421999999997
-1.41,-376.6064500000002
-0.63,-396.90185999999994
-0.83,-416.62476000000015
-0.94,-435.38378999999986
-1.97,-454.53832999999986
-0.78,-473.7997999999998
0.0,-493.08032000000003
-0.65,-512.5148899999999
-0.63,-530.89111
0.16,-549.6469699999998
-0.45,-567.8017599999998
0.92,-585.1240200000002
-0.11,-602.8039600000002
0.51,-620.83887
-0.77,-639.0185499999998
0.37,-657.20264
0.85,-674.5393100000001
0.09,-691.8049299999998
-0.19,-709.1032700000001
-0.56,-728.0422400000002
-0.2,-746.6140099999998
-0.88,-764.85034
1.29,-782.7206999999999
0.89,-800.2446300000001
0.81,-817.4528799999998
0.91,-834.27979
0.01,-851.4470200000001
1.32,-868.3872099999999
1.12,-885.1018100000001
1.12,-901.8198200000002
0.04,-919.8168900000001
-0.64,-938.01172
-1.0,-956.21045
0.57,-974.22363
0.29,-992.8967299999999
-0.34,-1011.2143599999999
-0.91,-1030.4484900000002
-0.01,-1049.6936
-0.51,-1068.71484
0.1,-1087.35205
0.15,-1105.99341
-0.03,-1124.13501
0.63,-1142.03613
,-1160.2919900000002
1.27,-1178.5083
-1.46,-1196.72217
-0.91,-1215.27637
-1.3,-1235.7229000000002
0.62,-1256.56641
-0.82,-1276.7687999999998
-1.76,-1296.8627900000001
0.47,-1317.21094
-0.74,-1336.7067900000002
-1.05,-1356.5812999999998
0.7,-1375.9035600000002
-0.71,-1395.50293
-1.44,-1415.1477100000002
-0.01,-1435.1096200000002
-0.28,-1455.45874
-0.44,-1475.45044
-0.18,-1495.16016
-0.02,-1514.87329
0.46,-1533.79248
-1.04,-1553.07251
1.35,-1572.05103
0.15,-1590.5622600000002
-0.29,-1609.0761699999998
0.16,-1628.3283700000002
-0.67,-1648.29468
0.92,-1667.72217
0.77,-1685.7871100000002
0.17,-1703.8544900000002
0.62,-1722.00122
1.03,-1740.6455099999998
-1.02,-1758.9467800000002
1.36,-1777.1001
1.26,-1795.50146
-1.57,-1813.56421
1.07,-1832.9856
0.08,-1852.25
0.26,-1871.6044900000002
-0.7,-1891.62109
-0.92,-1911.26953
0.72,-1930.94751
-0.12,-1950.47876
-0.52,-1969.72363
-0.19,-1989.8960000000002
-0.41,-2010.0705600000001
0.4,-2029.64185
-0.56,-2049.41675
-0.59,-2069.15869
0.78,-2087.8606
0.81,-2106.91699
-1.16,-2126.0918
0.89,-2145.42676
0.82,-2164.76318
-0.59,-2184.0073199999997
-0.42,-2203.6777300000003
0.06,-2223.3154299999997
0.5,-2242.83838
-1.57,-2262.36182
0.67,-2281.4423800000004
1.31,-2300.3061500000003
-0.2,-2319.1704099999997
1.36,-2338.05469
-0.48,-2356.9335899999996
-1.03,-2376.36182
0.0,-2396.7363299999997
0.29,-2417.1113299999997
0.04,-2436.6088900000004
-0.32,-2456.0063499999997
-0.9,-2475.5117200000004
0.35,-2495.25098
1.33,-2514.99072
-0.39,-2533.7773399999996
0.78,-2552.65186
-0.7,-2571.39404
-0.4,-2591.8261700000003
-0.8,-2612.2583000000004
0.01,-2632.21631
0.16,-2651.92871
0.27,-2671.9916999999996
-0.56,-2691.60693
-0.01,-2711.22119
-0.16,-2730.94629
-0.38,-2751.09961
0.94,-2770.87256
-0.76,-2790.5395500000004
-1.21,-2810.20654
-0.28,-2830.6757799999996
-0.37,-2851.0752
-1.16,-2871.4804700000004
-0.32,-2892.29346
0.67,-2912.7270500000004
0.25,-2932.10645
-0.16,-2951.3989300000003
-0.03,-2970.32568
0.37,-2989.1108400000003
0.98,-3008.24121
-0.5,-3027.55811
-0.66,-3047.41162
-0.32,-3067.6313499999997
-0.29,-3087.2773399999996
0.36,-3106.9209
-0.95,-3127.1557599999996
-0.24,-3147.24316
-0.13,-3167.65625
0.25,-3186.6567400000004
0.56,-3206.00537
0.58,-3224.8188499999997
0.26,-3243.40039
-0.47,-3262.32373
-0.17,-3282.35645
-1.38,-3303.08057
-0.26,-3323.0351600000004
0.69,-3342.7548800000004
-0.21,-3362.1132799999996
0.68,-3381.5127
-0.26,-3400.5161099999996
0.03,-3419.94189
0.54,-3439.1777300000003
-2.14,-3458.7602500000003
-1.08,-3480.22119
-1.28,-3502.77002
-0.06,-3524.1074200000003
-1.3,-3545.14404
-2.19,-3566.0698199999997
-0.82,-3588.5629900000004
0.0,-3610.64307
1.23,-3629.5249000000003
-0.26,-3647.9335899999996
0.1,-3667.1459999999997
-0.75,-3686.84375
-0.1,-3706.9023399999996
-0.24,-3726.6777300000003
-0.97,-3746.8227500000003
0.57,-3766.83252
-0.77,-3786.2915000000003
1.38,-3806.1074200000003
-0.72,-3824.4589800000003
0.91,-3843.03125
1.01,-3861.4169899999997
-0.98,-3880.54785
0.29,-3899.67529
0.57,-3918.10498
0.32,-3936.7168
-0.54,-3955.14307
-0.89,-3975.8252
-0.71,-3996.1264600000004
-1.54,-4017.26807
-0.5,-4038.5932599999996
0.45,-4058.7304700000004
-0.02,-4077.9233400000003
-0.4,-4097.11182
-0.8,-4116.76611
0.06,-4136.92725
0.49,-4156.67334
-1.52,-4176.71484
0.8,-4196.75195
-0.93,-4215.99609
-0.51,-4235.56348
-0.71,-4255.3252
0.03,-4274.92188
-0.68,-4294.90576
-1.23,-4315.25293
0.27,-4335.96436
-0.19,-4356.17871
-1.3,-4375.78125
-1.55,-4396.05469
-0.38,-4417.22217
-1.37,-4437.99365
-0.76,-4459.05469
-0.47,-4480.11035
0.79,-4499.43555
-0.14,-4518.30127
-1.78,-4537.40918
-1.34,-4558.77686
0.81,-4580.53564
-0.48,-4600.47754
-1.27,-4619.66113
-0.71,-4640.10791
-2.27,-4661.98047
-0.22,-4683.31201
-1.5,-4704.39893
-2.0,-4725.47266
0.6,-4745.09766
0.23,-4764.92676
-0.28,-4784.95068
-1.47,-4804.85059
-1.31,-4825.19922
-1.2,-4846.66455
-1.07,-4867.73438
-0.59,-4887.80859
0.75,-4907.56445
-0.25,-4926.75293
0.99,-4944.72949
-0.73,-4963.03467
-0.8,-4983.19678
-1.23,-5003.43799
-0.49,-5023.75098
-0.29,-5043.71631
-1.44,-5063.37988
-0.94,-5084.45752
-0.66,-5105.52197
-1.11,-5126.34229
-1.16,-5146.71631
-0.39,-5167.57666
-1.91,-5188.54639
-3.0,-5209.63916
-1.32,-5233.03809
-0.93,-5256.14893
-1.82,-5277.69482
-1.56,-5298.8374
-1.43,-5320.31396
-0.4,-5341.77637
0.88,-5361.01465
-0.81,-5379.80273
-2.1,-5399.2124
-1.04,-5420.96484
-1.84,-5442.32568
-1.69,-5464.37549
-0.24,-5486.4126
-1.53,-5507.46973
-1.77,-5527.94238
-0.93,-5548.46387
0.03,-5568.73486
-0.93,-5588.68262
0.7,-5607.28027
-0.71,-5626.21826
0.83,-5645.2207
-1.14,-5664.23779
-1.71,-5683.49609
-0.82,-5704.58057
-0.46,-5725.59277
0.43,-5744.80908
-1.88,-5763.66211
-1.14,-5783.28223
0.79,-5803.18359
0.47,-5823.04932
-2.03,-5842.45361
-1.04,-5862.20361
-1.47,-5883.15186
-1.49,-5904.24023
-0.34,-5924.2207
0.26,-5943.61865
-0.56,-5963.12061
-1.06,-5982.94727
-1.24,-6002.77002
-1.41,-6023.72852
-1.25,-6044.78516
-2.19,-6066.25537
-0.87,-6087.89941
-3.09,-6110.00879
-1.13,-6132.52441
-0.65,-6154.10156
-1.4,-6174.47559
-2.04,-6195.28857
-2.54,-6218.22363
-2.25,-6241.03564
-1.31,-6263.10742
-1.71,-6285.146479999999
-0.77,-6305.947270000001
-1.35,-6326.735350000001
-1.43,-6347.71387
-1.26,-6368.740229999999
-1.24,-6389.997069999999
-2.4,-6411.41699
-1.69,-6433.13184
-1.89,-6455.271479999999
-1.4,-6476.941409999999
-0.74,-6497.5625
-0.7,-6518.13672
-0.85,-6538.253909999999
-2.79,-6558.367190000001
-0.74,-6578.88184
0.38,-6599.50879
-0.81,-6619.625
-1.54,-6639.316409999999
0.02,-6658.981449999999
-1.22,-6678.543949999999
-1.13,-6698.09375
-0.7,-6718.166020000001
-1.6,-6738.30762
-1.55,-6758.86133
-0.84,-6779.69824
-1.29,-6800.14453
-0.44,-6819.947270000001
-2.0,-6839.86426
-1.62,-6861.45508
-0.93,-6883.032230000001
-0.19,-6902.476559999999
-0.9,-6921.72363
-0.86,-6941.24512
-0.86,-6960.985350000001
-1.13,-6980.558590000001
0.05,-6999.62988
-0.1,-7018.69824
-1.49,-7038.20996
-0.67,-7057.795899999999
-0.94,-7077.30762
-0.59,-7096.755859999999
-1.09,-7116.20117
-0.49,-7135.628909999999
-0.49,-7155.04492
-2.56,-7176.032230000001
-1.9,-7197.31738
-0.06,-7217.60547
-1.42,-7237.44238
0.11,-7256.50879
0.54,-7274.433590000001
-0.51,-7292.356449999999
-0.99,-7311.82617
-1.57,-7331.494140000001
-0.04,-7350.672850000001
-0.28,-7369.492190000001
-0.45,-7388.295899999999
-0.57,-7407.027340000001
-0.14,-7425.744140000001
-0.33,-7443.95703
0.24,-7462.0
,-7479.851559999999
0.48,-7497.166020000001
-0.48,-7514.467769999999
-2.02,-7533.60059
-0.33,-7553.57812
-1.11,-7573.068359999999
0.04,-7591.806640000001
-0.75,-7610.530269999999
0.79,-7628.318359999999
-0.1,-7646.10449
-1.16,-7664.360350000001
-0.08,-7683.125
-0.38,-7701.76953
1.11,-7719.01953
-0.04,-7736.268550000001
0.01,-7753.603520000001
0.45,-7771.025390000001
-0.07,-7788.433590000001
1.33,-7805.05371
0.62,-7821.610350000001
-2.4,-7838.950199999999
-0.13,-7858.65137
-0.2,-7878.339840000001
-1.57,-7897.208979999999
0.68,-7916.01172
-0.61,-7934.24121
0.15,-7951.97559
-0.65,-7969.73633
-0.97,-7988.543949999999
0.35,-8007.35059
-0.36,-8025.762699999999
-0.75,-8043.95703
0.26,-8061.977500000001
0.32,-8079.343800000001
-0.2,-8096.709999999999
0.29,-8114.607400000001
-1.18,-8132.8076
0.02,-8150.7148
1.39,-8167.3848
0.43,-8184.054700000001
-0.02,-8201.3037
-0.47,-8219.0801
0.38,-8236.8447
-0.2,-8254.6504
-1.08,-8272.457
-1.38,-8290.6914
0.61,-8309.3174
-0.07,-8327.8193
-0.15,-8345.4287
0.12,-8363.0391
-1.76,-8381.2852
0.26,-8399.9658
-1.27,-8418.6934
-0.47,-8437.6484
-0.71,-8456.6045
-1.53,-8475.666
0.31,-8494.7451
0.53,-8512.4648
1.16,-8528.709
0.41,-8544.9551
-0.02,-8561.0078
2.12,-8577.0107
-1.23,-8593.0801
-0.12,-8611.7129
-0.55,-8630.3486
-0.88,-8649.0938
-0.64,-8667.9082
-0.51,-8686.5059
-0.27,-8704.5195
0.86,-8722.5352
-0.77,-8740.502
-0.84,-8758.46
-1.01,-8776.8691
-1.08,-8796.2324
-0.96,-8815.5918
-0.35,-8834.1104
-0.22,-8852.6348
0.25,-8870.6396
-0.51,-8888.3174
-1.36,-8906.1475
-0.8,-8925.415
-0.33,-8944.6758
0.28,-8962.8857
-0.96,-8980.7822
-1.81,-8999.2148
-0.66,-9018.9082
-0.12,-9038.5869
-0.27,-9056.1572
0.3,-9073.7334
-0.08,-9091.708
-1.45,-9110.0918
-1.14,-9128.5186
-0.47,-9147.5898
-1.41,-9166.6689
-1.62,-9186.4746
-0.93,-9206.5488
0.37,-9225.1875
0.53,-9242.2822
0.18,-9259.3838
-0.29,-9277.6016
-2.15,-9295.9404
-0.61,-9314.5518
-0.32,-9333.459
-0.95,-9352.1328
1.29,-9368.9443
1.11,-9385.752
-1.77,-9403.6064
-0.78,-9422.5303
-1.59,-9441.5273
-0.77,-9460.9902
-0.37,-9480.4473
0.42,-9498.0908
0.14,-9515.3408
0.79,-9532.4912
0.28,-9549.3379
-0.73,-9566.1816
-1.33,-9584.6416
-0.92,-9604.0088
-1.16,-9623.4229
-1.15,-9642.9346
-0.19,-9662.4434
-1.05,-9680.7852
0.01,-9699.1289
-1.06,-9717.3623
0.07,-9735.5176
-1.29,-9753.75
-0.5,-9772.7441
-0.88,-9791.7461
0.07,-9810.4072
-1.3,-9828.9531
-2.48,-9848.4639
-1.85,-9869.9482
-2.09,-9891.3965
-1.86,-9912.6777
-2.11,-9933.957
-1.84,-9955.2725
-2.78,-9976.5986
-2.64,-9999.4121
-1.69,-10022.2861
-1.99,-10043.3936
-1.96,-10064.4326
-3.02,-10086.7266
-2.57,-10109.3008
-2.91,-10132.4902
-4.44,-10155.833
-3.03,-10180.8604
-2.97,-10206.1396
-3.81,-10230.584
-2.63,-10254.7021
-2.12,-10277.249
-3.61,-10299.9336
-2.23,-10323.4033
-4.23,-10347.4521
-4.4,-10373.7012
-3.49,-10399.8477
-4.91,-10425.8887
-3.17,-10451.6885
-2.76,-10477.3848
-4.1,-10502.1934
-4.14,-10527.0107
-3.86,-10553.2119
-5.5,-10580.3105
-4.91,-10609.377
-5.17,-10638.3926
-4.65,-10667.3242
-5.15,-10695.7383
-3.88,-10723.4316
-4.35,-10750.4229
-4.19,-10777.2959
-5.28,-10804.4102
-5.53,-10834.1279
-4.1,-10862.8379
-4.74,-10890.6387
-3.56,-10917.3994
-4.41,-10944.1436
-4.82,-10971.5732
-5.04,-10999.6152
-4.58,-11028.3389
-3.85,-11055.3965
-4.05,-11082.168
-4.61,-11108.9648
-5.17,-11136.6318
-4.7,-11165.4902
-4.27,-11193.252
-3.47,-11220.4932
-3.94,-11245.9873
-4.6,-11271.9482
-3.6,-11298.8369
-3.57,-11324.8125
-4.12,-11350.1768
-4.28,-11376.6846
-5.31,-11403.667
-5.06,-11433.1836
-4.49,-11462.043
-4.92,-11490.2119
-3.97,-11517.7861
-2.76,-11544.8799
-4.46,-11569.9131
-3.88,-11595.542
-4.83,-11622.4082
-4.98,-11650.4316
-5.06,-11679.2363
-5.03,-11708.3955
-4.18,-11736.9766
-4.78,-11764.5898
-4.43,-11792.3896
-3.06,-11820.2178
-5.07,-11846.3457
-3.15,-11872.4404
-4.6,-11898.4473
-4.68,-11925.4268
-4.23,-11953.4229
-3.49,-11979.7461
-2.82,-12005.624
-2.64,-12028.9863
-3.24,-12052.4414
-3.98,-12077.6934
-4.05,-12103.2969
-4.48,-12130.1504
-3.27,-12156.1699
-2.71,-12181.2773
-3.0,-12205.6436
-3.43,-12229.5664
-4.14,-12254.5215
-1.02,-12279.9482
-1.93,-12301.6855
-2.16,-12322.6641
-2.69,-12344.8633
-2.5,-12367.7021
-2.96,-12390.8975
-2.52,-12414.3115
-5.32,-12440.0684
-3.78,-12467.127
-2.71,-12491.9443
-4.17,-12516.5557
-4.17,-12543.4365
-3.55,-12570.1777
-4.59,-12596.5146
-4.2,-12623.5322
-5.42,-12651.2031
-4.94,-12680.5674
-4.22,-12709.8857
-5.03,-12737.8242
-4.44,-12765.834
-3.62,-12793.9121
-4.04,-12820.2705
-4.29,-12846.4482
-3.62,-12873.0586
-4.02,-12899.6504
-4.25,-12926.2168
-5.52,-12954.249
-2.3,-12983.3652
-4.54,-13008.7334
-5.1,-13034.2314
-5.09,-13063.6973
-4.05,-13092.25
-4.17,-13119.832
-4.5,-13147.373
-4.36,-13174.9482
-4.76,-13202.917
-5.16,-13231.5762
-5.72,-13261.252
-5.47,-13292.0713
-5.66,-13323.1592
-5.51,-13354.2441
-5.74,-13385.3877
-5.7,-13416.4971
-4.75,-13447.4355
-5.11,-13477.1318
-5.35,-13506.5674
-6.01,-13537.4111
-5.19,-13568.2646
-6.37,-13599.1982
-4.8,-13631.1982
-5.39,-13662.0059
-5.25,-13691.9473
-5.61,-13722.4775
-5.32,-13753.0625
-5.62,-13783.7461
-5.82,-13815.1611
-6.18,-13847.1064
-5.39,-13879.6992
-6.66,-13911.7119
-5.91,-13944.1484
-5.96,-13977.0967
-6.46,-14009.8936
-6.9,-14043.8545
-6.76,-14078.6016
-5.94,-14113.3047
-6.1,-14146.1738
-6.07,-14178.8203
-6.22,-14211.6318
-7.41,-14245.9795
-6.44,-14280.9004
-6.12,-14315.7949
-6.76,-14349.1855
-6.79,-14383.9238
-6.75,-14418.9844
-6.86,-14454.127
-8.15,-14490.283200000002
-7.05,-14528.1836
-7.44,-14565.8105
-7.15,-14602.605500000001
-6.82,-14639.140599999999
-8.83,-14676.293000000001
-7.37,-14715.412100000001
-8.21,-14755.078099999999
-8.11,-14794.416000000001
-8.23,-14834.4961
-9.0,-14875.2012
-7.74,-14917.3789
-7.8,-14957.0547
-8.38,-14996.5059
-7.38,-15036.029299999998
-8.66,-15074.640599999999
-7.4,-15116.1973
-9.37,-15155.4863
-8.5,-15198.097699999998
-8.4,-15240.4863
-9.11,-15282.6211
-8.39,-15325.228500000001
-9.08,-15367.6758
-9.54,-15411.4199
-9.47,-15457.1738
-9.47,-15502.9473
-9.7,-15548.7051
-8.13,-15595.2012
-8.97,-15636.3848
-9.74,-15680.1895
-8.9,-15725.6816
-8.87,-15769.914100000002
-9.54,-15814.039100000002
-9.82,-15859.8027
-9.64,-15906.7402
-9.21,-15953.150399999999
-9.25,-15998.527300000002
-8.94,-16043.216799999998
-9.18,-16087.464800000002
-9.45,-16132.230500000001
-9.41,-16178.0039
-9.36,-16223.833999999999
-9.51,-16269.480500000001
-9.4,-16315.7422
-10.35,-16361.781200000001
-8.67,-16411.4863
-9.26,-16454.7891
-8.56,-16499.3281
-9.92,-16543.4316
-9.21,-16589.7207
-9.61,-16635.959
-9.36,-16682.1836
-9.02,-16727.9102
-9.69,-16773.4492
-8.84,-16819.0117
-10.12,-16865.0078
-9.34,-16912.0254
-8.44,-16957.8262
-10.43,-17002.5684
-9.89,-17051.1602
-8.52,-17098.7832
-9.54,-17143.1367
-9.34,-17189.2227
-7.81,-17234.8809
-9.55,-17275.7441
-8.91,-17321.8945
-9.96,-17367.1797
-9.16,-17414.7051
-9.75,-17461.0977
-9.62,-17508.4141
-10.19,-17556.418
-9.37,-17605.1719
-10.19,-17652.9258
-9.93,-17702.002
-8.94,-17750.2168
-8.84,-17795.5742
-8.53,-17839.5312
-9.51,-17883.9238
-10.43,-17930.9395
-9.81,-17980.5176
-9.4,-18029.2168
-9.04,-18075.9492
-9.46,-18121.9766
-8.71,-18167.7188
-9.79,-18213.3516
-9.22,-18260.3184
-9.53,-18307.0957
-9.69,-18354.3652
-9.72,-18402.4238
-10.18,-18451.0352
-8.92,-18500.209
-8.83,-18545.9707
-9.31,-18590.707
-9.49,-18637.1621
-9.65,-18684.5605
-9.64,-18732.7129
-9.03,-18780.7422
-9.36,-18826.4121
-9.41,-18873.2305
-9.47,-18920.3926
-9.39,-18967.7539
-10.14,-19015.4648
-9.25,-19064.8594
-9.52,-19112.2578
-8.74,-19159.1543
-9.06,-19204.6133
-10.02,-19251.1387
-10.04,-19300.2695
-9.2,-19349.6152
-8.59,-19396.3184
-7.92,-19440.1914
-10.1,-19484.5781
-9.71,-19532.3066
-8.9,-19580.7148
-9.64,-19627.6777
-10.12,-19675.9883
-9.57,-19725.7695
-8.96,-19774.0586
-8.72,-19820.1602
-8.47,-19864.9258
-9.42,-19909.1855
-9.14,-19956.5254
-9.6,-20003.1992
-9.45,-20051.8184
-9.82,-20099.8418
-9.98,-20149.4609
-9.67,-20199.8496
-8.81,-20248.8359
-10.04,-20294.4902
-9.91,-20345.082
-8.36,-20395.2188
-9.14,-20439.1641
-9.41,-20485.8457
-8.74,-20533.2734
-9.22,-20579.3027
-9.92,-20626.7812
-9.0,-20675.6934
-9.98,-20723.793
-9.36,-20773.0176
-9.62,-20821.8242
-9.39,-20870.5059
-9.73,-20919.25
-9.55,-20968.4688
-9.11,-21017.1543
-8.43,-21063.8984
-8.84,-21109.291
-8.23,-21154.0508
-8.99,-21198.9297
-9.19,-21244.9395
-8.79,-21291.9062
-10.25,-21338.9629
-9.36,-21389.7246
-8.95,-21438.4199
-9.28,-21485.4512
-8.69,-21533.0234
-8.88,-21578.8184
-9.05,-21625.1562
-8.64,-21672.0527
-8.95,-21717.7598
-9.29,-21764.5371
-9.36,-21812.5371
-10.39,-21861.9004
-9.95,-21914.0938
-9.62,-21965.5
-9.52,-22015.4355
-10.58,-22065.4004
-9.68,-22119.168
-9.4,-22169.4922
-9.05,-22218.3887
